"TaxaID","rab.all","rab.win.control","rab.win.DOR1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1",4.71490177310123,5.13451964238894,1.9767085008757,-3.07143244081889,4.32860102519016,-1.24863136700388,0.00789046640005469,0.41191726150953,0.908843718415389,0.2078125,0.514905193943884,"ALDEx2",0.908843718415389,-1.24863136700388,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV2",1.83839313437914,2.22748567376914,-2.81264176203457,-5.20579226544269,2.51590214199836,-2.07414374564407,0.000547999460257121,0.159009736514986,0.571668792871715,0.2,0.501518012328302,"ALDEx2",0.571668792871715,-2.07414374564407,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus"
"ASV3",4.27847899504009,4.20351282606297,4.47365123573726,0.27826644308099,0.556893875477266,0.428140980762718,0.325582389769386,0.598787349053458,0.915347576981073,0.4484375,0.767876838235294,"ALDEx2",0.915347576981073,0.428140980762718,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV4",4.19212335833225,4.48961107723194,3.92376079580128,-0.525077327194191,0.787258021928016,-0.604849901854373,0.279071142155566,0.521076026784586,0.888200559696138,0.684375,0.934301022575722,"ALDEx2",0.888200559696138,-0.604849901854373,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV5",3.99227451294716,4.24616189774196,1.20094183827283,-3.26059602323433,3.37667463011362,-1.30093630730757,0.00782930484115282,0.381386347804367,0.877593411571101,0.2015625,0.504147219059071,"ALDEx2",0.877593411571101,-1.30093630730757,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV6",4.06850899399974,4.14647419322721,2.19168343323789,-2.10023029575969,4.77142974432144,-0.481370679847637,0.273438950036086,0.506238394352463,0.973812496603419,0.68125,0.89391938462572,"ALDEx2",0.973812496603419,-0.481370679847637,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV13",2.86506837248235,3.48500081086833,1.47251980934105,-1.71339624639172,3.77079178154252,-0.651640803767225,0.155042055993885,0.457690408001251,0.934506070022157,0.409375,0.78267035628366,"ALDEx2",0.934506070022157,-0.651640803767225,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV20",2.84889835157067,2.84889835157067,2.68046101807746,-0.0712170015400848,4.74903968596544,-0.0085872997592256,0.5,0.682560608932621,0.999906078927597,0.799999999999998,1,"ALDEx2",0.999906078927597,-0.0085872997592256,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV23",-3.69838764133933,-5.88288361710167,5.83796486571287,11.6672864932196,2.58216935683787,4.73142625487476,0.000547999460257121,0.017881658116812,0.128203735112231,0,0,"ALDEx2",0.128203735112231,4.73142625487476,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA
"ASV24",3.55989131629673,3.84531932239575,-2.90649137732236,-7.64724709085222,3.14709275912998,-2.59568561820527,0.000547999460257121,0.0818751018837619,0.437321250515602,0.2,0.501518012328302,"ALDEx2",0.437321250515602,-2.59568561820527,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV27",2.6791992057891,2.6791992057891,2.23401969414199,-3.02538518178623,4.91351063694863,-0.550267165204299,0.317830509222098,0.481844642785425,0.954770624583855,0.796874999999998,0.998497596153846,"ALDEx2",0.954770624583855,-0.550267165204299,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oceaniserpentilla",NA
"ASV30",2.92785517592642,2.92785517592642,2.41023881554039,1.17772831467698,7.47531923212598,0.131696114429587,0.379845599803593,0.860196871575807,1,0.556249999999999,1,"ALDEx2",1,0.131696114429587,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
