"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.DOR1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV1","DESeq2",263.471696247797,-4.30177177508116,1.43038996377252,-3.01122551901799,0.00260195525553112,0.00410621063763505,"deseq2",0.00410621063763505,-4.30177177508116,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV1","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,-4.35033864645372,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV1",-4.35033864645372,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,2,TRUE
"ASV1","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.901024353983086,-1.15011824810106,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,4.79631460303458,5.12539964032488,1.8989963003589,-3.32717636008196,4.65554502644495,-1.15011824810106,0.00789046640005469,0.415419455427443,0.901024353983086,0.2078125,0.51192844415289,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV1015","DESeq2",39.7674451039711,3.43312788306502,1.86955941690874,1.82242628982614,0.0683903285616209,0.0832219660810086,"deseq2",0.0832219660810086,3.43312788306502,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquibacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,TRUE
"ASV1015","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.247132514860742,2.65323003405014,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquibacter",NA,-0.0722590422598204,-4.42693459076167,5.48293107986617,10.0657843751876,3.7455545522799,2.65323003405014,0.000547999460257121,0.053260866176296,0.247132514860742,0,0,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,2,TRUE
"ASV1015","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,4.04500311066172,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquibacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV1015",4.04500311066172,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,2,TRUE
"ASV1030","DESeq2",25.4047221630263,-6.88128722587882,1.43918006962742,-4.78084395662467,1.74560820379804e-06,4.40766071459004e-06,"deseq2",4.40766071459004e-06,-6.88128722587882,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Aliiglaciecola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1030","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.54754023574427,-2.07036364024425,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Aliiglaciecola",NA,1.18112030405904,1.62411821222719,-2.87876030735975,-4.65181051896989,2.15538091174701,-2.07036364024425,0.000547999460257121,0.152514834759106,0.54754023574427,0.2,0.498666175676709,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV111","DESeq2",44.2480379527809,-5.10927649118481,2.20990039152271,-2.49941848342735,0.0124397314705324,0.016994232435774,"deseq2",0.016994232435774,-5.10927649118481,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV111","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.892753556081082,-0.668387205481963,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,-1.38561366150976,2.62874160920751,-3.06125094296493,-4.59101754895844,6.50928791625665,-0.668387205481963,0.248063706377386,0.497398700115753,0.892753556081082,0.651562499999999,0.932070806315102,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1133","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,-3.73635537205706,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV1133",-3.73635537205706,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,2,TRUE
"ASV1133","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.528097148543145,-1.82273082759574,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,0.74340754353285,2.92652661019194,-3.10980651815299,-5.75224417025634,2.86626289431717,-1.82273082759574,0.00789046640005469,0.135251630673964,0.528097148543145,0.209375,0.515614715620286,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV1133","DESeq2",48.7803936450183,-7.38821927140122,1.65680721059344,-4.45299637860334,8.46801833494014e-06,1.78181219131032e-05,"deseq2",1.78181219131032e-05,-7.38821927140122,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
