"TaxaID","rab.all","rab.win.control","rab.win.Dor-in","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1",5.05735376998365,5.47261163196215,1.88760804762459,-3.60621923451196,4.6889527167572,-1.24118798147119,0.000547999460257121,0.384994277157736,0.802314242052577,0.2,0.4620921592711,"ALDEx2",0.802314242052577,-1.24118798147119,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV2",2.09522252384414,2.56605599437187,-2.98856463873093,-5.5570104115146,2.45591172663523,-2.41917192491613,0.000547999460257121,0.117871960929506,0.432700927455013,0.2,0.4620921592711,"ALDEx2",0.432700927455013,-2.41917192491613,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus"
"ASV3",4.26551703385012,4.52481163293574,0.755148529338465,-3.60468125796359,3.37308771152751,-1.42519671721258,0.000547999460257121,0.327380367490752,0.739035831288537,0.2,0.4620921592711,"ALDEx2",0.739035831288537,-1.42519671721258,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV4",3.87486308058125,4.79241165127576,-3.07716551359774,-7.80776797739232,2.70389597175475,-2.91669501411007,0.000547999460257121,0.104295156322308,0.401941079730117,0.2,0.4620921592711,"ALDEx2",0.401941079730117,-2.91669501411007,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV5",4.28722847535181,4.5837892697602,2.25208979589226,-2.38138642131244,0.818112600393483,-2.98429452670076,0.000547999460257121,0.159296619825639,0.511584074655018,0.2015625,0.46507650970349,"ALDEx2",0.511584074655018,-2.98429452670076,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV6",4.16279551560552,4.45872207458835,-3.03995295205999,-7.58991242577865,2.54174435610582,-3.19368622388379,0.000547999460257121,0.112417988090138,0.436830839598305,0.2,0.4620921592711,"ALDEx2",0.436830839598305,-3.19368622388379,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV13",2.73865592729263,3.83641791288356,-2.87096656187583,-6.65191593836102,2.26131435437263,-3.09592798002424,0.000547999460257121,0.106868317645952,0.399701818661895,0.2,0.4620921592711,"ALDEx2",0.399701818661895,-3.09592798002424,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV20",2.90013680543664,3.1937871371139,-3.45966039620002,-6.66849403904847,2.38045777352327,-2.88812369122015,0.000547999460257121,0.135103332625952,0.461169580374745,0.2,0.4620921592711,"ALDEx2",0.461169580374745,-2.88812369122015,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV24",3.83673170870663,4.14765192158053,-3.29413854150318,-8.39946403166083,3.16131131037048,-2.77245593618242,0.000547999460257121,0.0737600052784046,0.341846016162429,0.2,0.4620921592711,"ALDEx2",0.341846016162429,-2.77245593618242,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV27",2.30679091274806,2.92907058846028,-3.28444292136686,-7.73112082134647,3.93928949362042,-2.06810348312477,0.000547999460257121,0.102639649728014,0.422076477221856,0.2,0.4620921592711,"ALDEx2",0.422076477221856,-2.06810348312477,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oceaniserpentilla",NA
"ASV30",-1.45159900718107,3.24982488067593,-2.92783876691981,-5.04301309985551,5.65707940399638,-0.870970217136208,0.226564484085857,0.371093766448051,0.74504501599386,0.5703125,0.852877110105417,"ALDEx2",0.74504501599386,-0.870970217136208,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV34",2.29460872660044,2.60793389640351,-2.64759173348066,-5.42667069139369,2.37317678701843,-2.29049609332743,0.000547999460257121,0.140005667566739,0.456536372464381,0.2,0.4620921592711,"ALDEx2",0.456536372464381,-2.29049609332743,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade IV",NA,NA
"ASV37",2.27438767340717,2.42386403766955,1.26247126410234,-1.16728295668588,3.96437615379503,-0.415276122133608,0.195314964938317,0.479095472493571,0.905861158186425,0.53125,0.761976218857452,"ALDEx2",0.905861158186425,-0.415276122133608,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV39",1.79196338003174,2.16704838225642,-2.95726544789841,-5.23184626912534,2.16027728758531,-2.49958206644806,0.000547999460257121,0.165245150885464,0.501306862776112,0.2015625,0.464589002705443,"ALDEx2",0.501306862776112,-2.49958206644806,FALSE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA
"ASV42",0.46022733474317,0.981620922278891,-3.18284992103835,-4.84408346190265,2.7465316947286,-1.64930998760803,0.0155432426385351,0.154368124253123,0.488947445957045,0.2171875,0.479425132899967,"ALDEx2",0.488947445957045,-1.64930998760803,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Marinomonas",NA
"ASV43",1.80364823797091,0.873958707422263,3.5128041003459,2.6084098977871,1.6452685736978,1.57207328053884,0.000547999460257121,0.176470036935328,0.534598644066655,0,0,"ALDEx2",0.534598644066655,1.57207328053884,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas",NA
"ASV45",1.92248858113877,2.57856712540439,-2.98176736454586,-5.57646277917325,2.51197652708845,-2.14301864360105,0.000547999460257121,0.128697025302298,0.449200612020604,0.2,0.4620921592711,"ALDEx2",0.449200612020604,-2.14301864360105,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV47",-1.32090341346083,2.37793345030846,-2.78684849348496,-4.40066257842464,5.52964944510521,-0.683339992791838,0.226564484085857,0.453423830487017,0.786179808376866,0.578125,0.859402464578392,"ALDEx2",0.786179808376866,-0.683339992791838,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV49",3.35930099850741,4.55569176865858,-3.36584725380618,-8.37266860159157,3.57727622108001,-2.40331979023849,0.000547999460257121,0.0861761549418111,0.375109009433064,0.2,0.4620921592711,"ALDEx2",0.375109009433064,-2.40331979023849,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
