"TaxaID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1",290.209324969744,-5.02409479842631,1.75687643346649,-2.85967453528491,0.00424075987327059,0.00647893869527451,"DESeq2",0.00647893869527451,-5.02409479842631,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV2",38.2374828645522,-8.47018345213389,1.53456354618819,-5.51960423742213,3.39764001615108e-08,2.4890686632755e-07,"DESeq2",2.4890686632755e-07,-8.47018345213389,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus"
"ASV3",154.61437737695,-5.41804748179249,1.51294326704847,-3.58113063443702,0.000342110536399412,0.000570184227332353,"DESeq2",0.000570184227332353,-5.41804748179249,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV4",166.95986299431,-10.5920173028383,1.55841048841077,-6.79667993869818,1.07057571209599e-11,2.35526656661118e-10,"DESeq2",2.35526656661118e-10,-10.5920173028383,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV5",156.750861158862,-4.70113428233476,0.532429047379485,-8.82959768155562,1.05052905109631e-18,1.15558195620594e-16,"DESeq2",1.15558195620594e-16,-4.70113428233476,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV6",147.518432268321,-10.4164092989029,1.52104470458957,-6.84819405207,7.47880745942524e-12,2.05667205134194e-10,"DESeq2",2.05667205134194e-10,-10.4164092989029,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV13",78.0420267657056,-9.4919732295134,1.57262486915666,-6.03575170129643,1.58224388906831e-09,1.9338536421946e-08,"DESeq2",1.9338536421946e-08,-9.4919732295134,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV20",58.2175448464412,-9.07416242386642,1.56641365007813,-5.79295413022851,6.91590009940946e-09,6.33957509112534e-08,"DESeq2",6.33957509112534e-08,-9.07416242386642,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV24",303.650437616338,-11.4553269963958,2.06563831421251,-5.54565962374829,2.92848029344084e-08,2.30094880198923e-07,"DESeq2",2.30094880198923e-07,-11.4553269963958,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV27",192.771099020234,-10.7999953359296,2.33137877975188,-4.63244987460982,3.61363845292019e-06,1.01704646203474e-05,"DESeq2",1.01704646203474e-05,-10.7999953359296,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oceaniserpentilla",NA
"ASV30",46.2694540247975,-8.74120607096279,3.64259336176228,-2.39972052953333,0.0164075932674643,0.0237478323608036,"DESeq2",0.0237478323608036,-8.74120607096279,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV34",44.1016171529415,-8.66144629999441,1.63460474060582,-5.2988016520644,1.16565175405998e-07,5.82825877029988e-07,"DESeq2",5.82825877029988e-07,-8.66144629999441,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade IV",NA,NA
"ASV37",37.914856326641,-3.59658647206474,1.55111586196672,-2.31870910500811,0.0204108145048317,0.0287844819939934,"DESeq2",0.0287844819939934,-3.59658647206474,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV39",30.7173936766906,-8.14108540431329,1.68257762932431,-4.83846050394868,1.30848690734192e-06,4.38069034580221e-06,"DESeq2",4.38069034580221e-06,-8.14108540431329,TRUE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA
"ASV42",22.1841991206193,-7.69077777064426,2.00210270635073,-3.84135026951858,0.000122359365019315,0.00021708919600201,"DESeq2",0.00021708919600201,-7.69077777064426,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Marinomonas",NA
"ASV43",21.5261540792446,0.0487103667687659,1.84866497513492,0.0263489423037351,0.978979018132002,0.978979018132002,"DESeq2",0.978979018132002,0.0487103667687659,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas",NA
