"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.Dor-in","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV1","DESeq2",290.209324969744,-5.02409479842631,1.75687643346649,-2.85967453528491,0.00424075987327059,0.00647893869527451,"deseq2",0.00647893869527451,-5.02409479842631,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV1","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,-4.36903339224541,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV1",-4.36903339224541,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,2,TRUE
"ASV1","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.814168513799607,-1.02195598676866,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,5.04920405621453,5.49060571690954,2.06617281030871,-3.57571434869203,5.51081436852155,-1.02195598676866,0.000547999460257121,0.389625465272885,0.814168513799607,0.2,0.461206966504706,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV1014","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.115196545463742,4.63094917928836,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Psychromonadaceae","Agarivorans",NA,-3.45333187372315,-5.78327475742941,5.53374900927341,11.3257368086255,2.22127196650405,4.63094917928836,0.000547999460257121,0.0183550840644059,0.115196545463742,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV1014","DESeq2",35.0367933277826,8.87637932550399,1.88515435646441,4.70856898007627,2.49461946054683e-06,7.62244835167087e-06,"deseq2",7.62244835167087e-06,8.87637932550399,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Psychromonadaceae","Agarivorans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV1030","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.517057865919288,-1.86081956549936,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Aliiglaciecola",NA,1.50672866967341,1.94957477464498,-2.47373072573764,-4.75074103328042,2.4887080526229,-1.86081956549936,0.000547999460257121,0.168618421958301,0.517057865919288,0.2,0.461206966504706,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1030","DESeq2",28.0406845232222,-8.03002295433613,1.65992105578806,-4.83759328573841,1.31420710374066e-06,4.38069034580221e-06,"deseq2",4.38069034580221e-06,-8.03002295433613,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Aliiglaciecola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1053","DESeq2",98.1022384369446,10.3617569656778,1.69308642674851,6.1200401834046,9.35517628211186e-10,1.28633673879038e-08,"deseq2",1.28633673879038e-08,10.3617569656778,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV1053","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.109174990252232,4.82169539029496,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae",NA,NA,-3.35173139045848,-5.65920735809729,6.88622606968309,12.5805875334409,2.615692084491,4.82169539029496,0.000547999460257121,0.0167184597203615,0.109174990252232,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV1075","DESeq2",27.2239689260401,8.51237831238861,1.96470608173107,4.33264720435358,1.47327092463468e-05,3.27195957145084e-05,"deseq2",3.27195957145084e-05,8.51237831238861,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ruegeria","conchae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE
