"TaxaID","rab.all","rab.win.control","rab.win.Dor-out","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1",5.01733488250416,5.42929748818694,3.70171819543592,-1.70283832759802,1.29151224620823,-1.24075331418228,0.0542744309441129,0.351293019022534,0.785465668149856,0.2546875,0.550661139317044,"ALDEx2",0.785465668149856,-1.24075331418228,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV2",2.11457936913024,2.53736042282229,-3.01752472104673,-5.68731382531985,2.48569540026112,-2.53596864448406,0.000547999460257121,0.14655051814534,0.495266953157363,0.2,0.461656145930385,"ALDEx2",0.495266953157363,-2.53596864448406,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus"
"ASV3",4.14865284428375,4.48272138848195,0.791422517553011,-3.75332158545921,3.65020744742927,-1.45920620622365,0.000547999460257121,0.329206955198465,0.764353160055923,0.2,0.461656145930385,"ALDEx2",0.764353160055923,-1.45920620622365,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV4",3.97455319523948,4.68280571476892,3.40683834543654,-1.22262899807008,0.713915360541502,-1.69679550837136,0.0387751645274906,0.122302158420467,0.488856258512516,0.25625,0.541250412936526,"ALDEx2",0.488856258512516,-1.69679550837136,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV5",4.31158087315069,4.52519143240706,1.41915811159391,-3.12033411402623,4.2143144294192,-1.10024431269734,0.000547999460257121,0.401401079445474,0.840836575296434,0.20625,0.468256890696891,"ALDEx2",0.840836575296434,-1.10024431269734,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV6",4.12226297412292,4.44056933253292,-3.28886318395611,-7.77501808302683,2.62514152945383,-2.93660939626695,0.000547999460257121,0.111463241032723,0.437201885166075,0.2,0.461656145930385,"ALDEx2",0.437201885166075,-2.93660939626695,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV13",2.75162868661472,3.72328340853514,-2.77974832177903,-6.3231017485213,1.9556307340221,-3.010047001023,0.000547999460257121,0.105177167127977,0.419892079273078,0.2,0.461656145930385,"ALDEx2",0.419892079273078,-3.010047001023,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV20",3.12148172753038,3.15132290373756,1.79373802094901,-1.29486752943911,4.62218968051757,-0.387031309151085,0.403101279361307,0.541923564067866,0.982792083320099,0.8390625,0.94637100705431,"ALDEx2",0.982792083320099,-0.387031309151085,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV24",3.8339502930464,4.10840456897205,-3.45865586419011,-8.41701573454046,3.00276935898353,-2.75424953435414,0.000547999460257121,0.0671128469916637,0.342247689459831,0.2,0.461656145930385,"ALDEx2",0.342247689459831,-2.75424953435414,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV27",2.37909410855023,2.85731353452823,-3.21242869402002,-7.13466603687104,3.66509219110911,-2.14466930926225,0.000547999460257121,0.0792563833363512,0.39586523733569,0.2,0.461656145930385,"ALDEx2",0.39586523733569,-2.14466930926225,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oceaniserpentilla",NA
