"TaxaID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1",386.466764684341,-4.51509249515564,1.14849391136164,-3.93131600480374,8.44821398879643e-05,0.000131550760682687,"DESeq2",0.000131550760682687,-4.51509249515564,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV2",50.7460386190603,-9.47518557401166,1.52764131444627,-6.20249366419246,5.5575422939506e-10,3.56336535318009e-09,"DESeq2",3.56336535318009e-09,-9.47518557401166,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus"
"ASV3",200.000285750935,-6.01679389162956,1.5410849942358,-3.9042583077082,9.45147921850181e-05,0.000145100173917845,"DESeq2",0.000145100173917845,-6.01679389162956,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV4",228.30928056834,-4.69567721245233,0.611354686767663,-7.68077404833384,1.58130176999547e-14,1.44422401881511e-12,"DESeq2",1.44422401881511e-12,-4.69567721245233,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV5",204.474142258219,-5.14604336609534,1.66977119582037,-3.08188533792922,0.00205694053807785,0.00280258148313106,"DESeq2",0.00280258148313106,-5.14604336609534,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV6",196.069665772334,-11.4188617475752,1.53152890010945,-7.45585783380201,8.92849794688383e-14,3.24402092070113e-12,"DESeq2",3.24402092070113e-12,-11.4188617475752,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV13",103.031153858047,-10.4868981131949,1.55046833465809,-6.76369705770704,1.34514202310119e-11,2.44367467530049e-10,"DESeq2",2.44367467530049e-10,-10.4868981131949,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV20",81.0637491532123,-3.55150088397561,1.75311219063322,-2.0258263578059,0.0427825818836113,0.0506880589708003,"DESeq2",0.0506880589708003,-3.55150088397561,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV24",429.15439832272,-12.5457790386124,2.06838126131504,-6.06550604245758,1.31538824603483e-09,7.4995231572966e-09,"DESeq2",7.4995231572966e-09,-12.5457790386124,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV27",276.45023894692,-11.9115212822194,2.26074666481957,-5.26884390346763,1.37285643430206e-07,2.87771829497933e-07,"DESeq2",2.87771829497933e-07,-11.9115212822194,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oceaniserpentilla",NA
"ASV30",63.1469839703167,-9.78171748936099,3.08945991527398,-3.16615776142657,0.0015446699352132,0.00221538188076629,"DESeq2",0.00221538188076629,-9.78171748936099,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV34",57.3908667443843,-6.37121181443357,1.19671935973114,-5.32389800718606,1.0156686922683e-07,2.21415774914489e-07,"DESeq2",2.21415774914489e-07,-6.37121181443357,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade IV",NA,NA
"ASV35",36.5299921343677,8.53956232622676,1.49173798295833,5.72457256152423,1.0369448145268e-08,2.82567461958552e-08,"DESeq2",2.82567461958552e-08,8.53956232622676,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA
"ASV37",46.4427319538723,-9.33022408061549,1.5478262166519,-6.0279532548542,1.66049057876796e-09,8.30996790266946e-09,"DESeq2",8.30996790266946e-09,-9.33022408061549,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV39",39.5897257756639,-9.0975653930699,1.56216968918691,-5.82367296974318,5.75681735939985e-09,1.7928374062131e-08,"DESeq2",1.7928374062131e-08,-9.0975653930699,TRUE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA
"ASV42",30.8637315201791,-8.76055663361305,1.87437120451874,-4.67386428712365,2.95584692134907e-06,4.95672791426229e-06,"DESeq2",4.95672791426229e-06,-8.76055663361305,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Marinomonas",NA
"ASV45",55.3073473964607,-9.57726959970738,1.58923738680046,-6.02633041435607,1.67724122806173e-09,8.30996790266946e-09,"DESeq2",8.30996790266946e-09,-9.57726959970738,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV47",35.476653905403,-8.9514065890962,2.89637899959723,-3.09055085344183,0.00199785590078823,0.00275653535678376,"DESeq2",0.00275653535678376,-8.9514065890962,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV49",440.390211160552,-12.5829497464102,2.10386182833533,-5.98088219337408,2.21932344193238e-09,9.67625020682517e-09,"DESeq2",9.67625020682517e-09,-12.5829497464102,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV50",94.7112649008964,-3.07852394390543,1.34155512561183,-2.29474278405178,0.0217478693447546,0.0260496456986622,"DESeq2",0.0260496456986622,-3.07852394390543,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
