"TaxaID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1",1779.80679046553,0.0119140160626172,0.363313634363072,0.0327926478275546,0.973839941244884,0.979280387844017,"DESeq2",0.979280387844017,0.0119140160626172,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV2",719.434069791817,-5.96330000275218,1.26033471113417,-4.73152088097757,2.22843889451924e-06,6.94997435827093e-06,"DESeq2",6.94997435827093e-06,-5.96330000275218,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus"
"ASV3",1072.81283414227,0.79849441795993,0.340895902126451,2.34234091104955,0.0191632018263882,0.0355605807087617,"DESeq2",0.0355605807087617,0.79849441795993,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV4",1486.9430443462,-2.08054252589301,0.257853964219502,-8.06868543669904,7.10590808002896e-16,4.73727205335264e-15,"DESeq2",4.73727205335264e-15,-2.08054252589301,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV5",908.983693657047,0.551586864830669,0.324922977110934,1.69759267176217,0.0895846669042072,0.126970394037459,"DESeq2",0.126970394037459,0.551586864830669,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV6",1070.87839316446,0.22464977174789,0.313819935875059,0.715855642253811,0.474080490583225,0.554120053928445,"DESeq2",0.554120053928445,0.22464977174789,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV9",615.629159365552,0.288581741160686,2.43956309887281,0.118292386572835,0.905835989680291,0.926423171263934,"DESeq2",0.926423171263934,0.288581741160686,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Glaciecola",NA
"ASV13",500.906213262355,-2.06616670752708,0.347497627362959,-5.94584407153082,2.75035870130994e-09,1.41447018924511e-08,"DESeq2",1.41447018924511e-08,-2.06616670752708,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV20",691.164740646056,2.00274243717954,0.275623625911947,7.26622193780786,3.69681030157118e-13,2.29457191132004e-12,"DESeq2",2.29457191132004e-12,2.00274243717954,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV21",216.700766357068,-0.372704586157896,0.192371084891657,-1.9374251923973,0.052693389605402,0.0844217545199356,"DESeq2",0.0844217545199356,-0.372704586157896,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group",NA,NA
