"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV1","DESeq2",461.95041819735,0.902352408656653,0.837519664430197,1.07728231765554,0.281354159419906,0.318374443554104,"deseq2",0.318374443554104,0.902352408656653,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1030","DESeq2",28.2141496867984,-5.23133451123546,1.95570575562428,-2.67291387513714,0.00751955531198871,0.0184766216237437,"deseq2",0.0184766216237437,-5.23133451123546,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Aliiglaciecola",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1047","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635501,4.50677651530401,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales",NA,NA,NA,"ASV1047",4.50677651530401,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,2,TRUE
"ASV1047","DESeq2",98.0595549087939,8.05815748230785,2.26254671473504,3.20985589099644,0.00132801534039852,0.00601101680390907,"deseq2",0.00601101680390907,8.05815748230785,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales",NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV111","DESeq2",47.1228572432253,-2.41008943099641,2.34993980722006,-1.60338851646544,0.108848904761422,0.156016763491371,"deseq2",0.156016763491371,-2.41008943099641,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1133","DESeq2",52.381305925768,-5.65336238786744,1.9754979891422,-2.81138713076361,0.00493283943734407,0.0132570059878622,"deseq2",0.0132570059878622,-5.65336238786744,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV116","DESeq2",46.6769423998964,-1.53317458769578,2.35116568045624,-3.54636227770545,0.000390588843682147,0.00321214217320493,"deseq2",0.00321214217320493,-1.53317458769578,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1194","DESeq2",41.5226201514972,-5.08449868921822,2.05043916663461,-2.46119012041712,0.0138476963653444,0.0253383380302047,"deseq2",0.0253383380302047,-5.08449868921822,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1218","DESeq2",37.7308300499561,-4.92479342712644,2.06947419966733,-2.37156308332189,0.0177130226783518,0.0304663990067651,"deseq2",0.0304663990067651,-4.92479342712644,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aureicoccus","marinus",NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1232","DESeq2",33.8675473185215,-2.27051138069659,2.356915637326,-1.46844653140613,0.141982969986587,0.187338455037717,"deseq2",0.187338455037717,-2.27051138069659,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
