"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV1","DESeq2",1858.68838373948,0.361403779626518,0.390513673386859,0.925463059123388,0.354725090593915,0.432657118072881,"deseq2",0.432657118072881,0.361403779626518,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1002","DESeq2",61.6991818924139,6.0589087759938,2.09093262915383,2.47652326210352,0.0132668979317092,0.027384238038528,"deseq2",0.027384238038528,6.0589087759938,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2",NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1013","DESeq2",44.8531396610488,-3.31403065236239,1.99177553090166,-1.9935653721668,0.0461995727788229,0.0854957611194309,"deseq2",0.0854957611194309,-3.31403065236239,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1014","DESeq2",60.2862235284655,5.93279767242998,2.08938132228625,2.43470537827526,0.014903919281225,0.0303738101807243,"deseq2",0.0303738101807243,5.93279767242998,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Psychromonadaceae","Agarivorans",NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV104","DESeq2",64.0326962294589,0.668347402246409,0.528392806216257,1.26551116811872,0.205688147490575,0.295676712017701,"deseq2",0.295676712017701,0.668347402246409,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV108","DESeq2",116.632879009545,0.199526978013159,0.27786048326118,0.718174934382235,0.472649431055106,0.557906938772142,"deseq2",0.557906938772142,0.199526978013159,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV111","DESeq2",110.09084880794,-6.67076659487652,1.60560947832767,-3.99471274652723,6.47727365992277e-05,0.000521420529623783,"deseq2",0.000521420529623783,-6.67076659487652,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1122","DESeq2",62.17016801373,6.10061607675392,2.09135867317759,2.49053554135598,0.0127550737892458,0.0266696997411504,"deseq2",0.0266696997411504,6.10061607675392,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Spongiivirga",NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV113","DESeq2",122.164512537864,0.334728553863988,0.295165504579876,1.13424581192901,0.25669145227572,0.329623807645793,"deseq2",0.329623807645793,0.334728553863988,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV115","DESeq2",68.3021209647623,1.1462411490971,0.552774617937816,2.07492510598373,0.0379934764794352,0.0723222931338876,"deseq2",0.0723222931338876,1.1462411490971,FALSE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
