"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV1","DESeq2",2033.62326347199,0.527275736061885,0.409846079221443,1.28652385137063,0.198260300222928,0.295217771281154,"deseq2",0.295217771281154,0.527275736061885,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1013","DESeq2",48.1278074517255,-3.72559261277609,2.06695273486287,-2.11943889580867,0.0340533926066772,0.0717642606161712,"deseq2",0.0717642606161712,-3.72559261277609,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV104","DESeq2",72.6214599439254,0.982407354127024,0.50368447817853,1.95117206189308,0.0510365812262435,0.0972125356690351,"deseq2",0.0972125356690351,0.982407354127024,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV108","DESeq2",123.774592945712,0.206311374814164,0.260322257733563,0.792590540665706,0.428016421721143,0.522768148667045,"deseq2",0.522768148667045,0.206311374814164,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV111","DESeq2",146.762203165951,0.00491933225812624,0.463750697904982,0.0106077060440368,0.991536433847138,0.991536433847138,"deseq2",0.991536433847138,0.00491933225812624,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1122","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0758337731605975,3.75279055347196,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Spongiivirga",NA,"ASV1122",3.75279055347196,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,2,TRUE
"ASV1122","DESeq2",51.8296459936252,6.06197267623593,2.21305030983497,2.29071733451195,0.0219797673933752,0.049531870182254,"deseq2",0.049531870182254,6.06197267623593,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Spongiivirga",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV113","DESeq2",108.583140921065,-1.27539441053693,0.360671617094067,-3.53078190958399,0.000414333224212692,0.00236761842407253,"deseq2",0.00236761842407253,-1.27539441053693,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV115","DESeq2",77.9383369547075,1.40923436619113,0.558131080842414,2.5258958378017,0.0115403691891224,0.0279766525796906,"deseq2",0.0279766525796906,1.40923436619113,TRUE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV116","DESeq2",70.6685317523707,-3.0444513641952,2.13856879233468,-2.05210390262033,0.0401595657603227,0.0803191315206453,"deseq2",0.0803191315206453,-3.0444513641952,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1165","DESeq2",49.5740637570854,-1.34730602526365,2.1918276679774,-1.36450521353823,0.172408614466408,0.270444885437502,"deseq2",0.270444885437502,-1.34730602526365,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV120","DESeq2",42.0582808001762,5.87582756102929,0.902407134342011,6.47659461798168,9.38157961637843e-11,3.0021054772411e-09,"deseq2",3.0021054772411e-09,5.87582756102929,TRUE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rubripirellula",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1245","DESeq2",21.4299095778399,-5.10140007386286,1.73775349016549,-2.93554528156473,0.00332962010938507,0.0093041331551632,"deseq2",0.0093041331551632,-5.10140007386286,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","OCS116 clade",NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV125","DESeq2",42.8382250064349,-1.40205939319474,2.19775019333276,-1.35053813406813,0.17684343010407,0.274708240938361,"deseq2",0.274708240938361,-1.40205939319474,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1287","DESeq2",29.0967287090702,-3.7098563768658,2.0623857562414,-1.97340896649499,0.0484489868714105,0.0945346085295814,"deseq2",0.0945346085295814,-3.7098563768658,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1288","DESeq2",60.5842328896965,-1.349608637734,2.19205298996248,-1.41721040640311,0.156421420165876,0.258014713675672,"deseq2",0.258014713675672,-1.349608637734,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oceaniserpentilla",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV13","DESeq2",693.905426717133,-0.28614102582759,0.38757315021034,-0.738273337946152,0.460348364961062,0.541586311718897,"deseq2",0.541586311718897,-0.28614102582759,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV130","DESeq2",79.2295257847958,0.717513361782732,0.440237198269569,1.6303508376447,0.103027368761882,0.181147021998914,"deseq2",0.181147021998914,0.717513361782732,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
