"TaxaID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1",292.372653894209,-1.58737128012829,0.566277115139107,-2.80317045787441,0.00506029165578375,0.00872464078583405,"DESeq2",0.00872464078583405,-1.58737128012829,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV2",37.1439477902274,-2.24431978072065,1.72657811292597,-1.2998657656544,0.193646980287162,0.230532119389478,"DESeq2",0.230532119389478,-2.24431978072065,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus"
"ASV3",151.320989864072,-1.95751857395717,0.580721777945688,-3.37083720345726,0.000749401289872886,0.00141396469787337,"DESeq2",0.00141396469787337,-1.95751857395717,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV4",203.962948635054,-0.653827607826536,0.574462248292895,-1.13815591846024,0.255055381908289,0.293167105641711,"DESeq2",0.293167105641711,-0.653827607826536,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV5",162.701154757407,-1.42388075529755,0.377645467113918,-3.7704166454831,0.000162975231087694,0.000386330873625117,"DESeq2",0.000386330873625117,-1.42388075529755,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV6",156.022189527859,-1.42697262330056,0.403921309742534,-3.5327985646762,0.000411185640840431,0.000856636751750898,"DESeq2",0.000856636751750898,-1.42697262330056,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV13",86.1391176514131,-1.23941955745295,0.601698529174877,-2.05986801920988,0.0394111597853851,0.057957587919684,"DESeq2",0.057957587919684,-1.23941955745295,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV20",65.0775341820752,-1.06003190781987,0.617036915956168,-1.71793920332503,0.0858077051667601,0.108617348312355,"DESeq2",0.108617348312355,-1.06003190781987,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV21",34.9864165068977,0.185213450323021,0.872190562542603,0.21235433892232,0.831830605620227,0.840232934969927,"DESeq2",0.840232934969927,0.185213450323021,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group",NA,NA
"ASV24",256.474036353116,-10.8656779600875,2.08892552313316,-5.20156311929695,1.97619332437922e-07,1.64682777031602e-06,"DESeq2",1.64682777031602e-06,-10.8656779600875,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV27",178.958034932287,-2.74435824057554,2.29879392560328,-1.1938252533251,0.232546331092798,0.273583918932704,"DESeq2",0.273583918932704,-2.74435824057554,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oceaniserpentilla",NA
"ASV30",37.8879720315093,-8.1071002955511,3.64680744340235,-2.22306782613876,0.0262112267580882,0.0416051218382353,"DESeq2",0.0416051218382353,-8.1071002955511,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV34",49.3799691034833,-1.14395678500544,0.71666868252961,-1.5962142798924,0.110440960486046,0.138051200607557,"DESeq2",0.138051200607557,-1.14395678500544,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade IV",NA,NA
"ASV37",81.3746808945842,1.32361379419052,0.598557950470789,2.21133775459743,0.0270124567458794,0.0422069636654365,"DESeq2",0.0422069636654365,1.32361379419052,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV39",40.2196240905002,-0.312588187469216,0.72921883143922,-0.428661704816752,0.668169433384927,0.696009826442632,"DESeq2",0.696009826442632,-0.312588187469216,FALSE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA
"ASV42",18.7267425270712,-7.09864738169072,2.10220841556034,-3.3767571897949,0.00073345765843661,0.00141049549699348,"DESeq2",0.00141049549699348,-7.09864738169072,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Marinomonas",NA
"ASV45",49.1537755257302,-1.09082692022995,2.03822963042457,-0.535183525912501,0.592522956834916,0.623708375615701,"DESeq2",0.623708375615701,-1.09082692022995,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV47",21.3399818674175,-7.27984856599344,3.71935457361641,-1.95728813209521,0.0503136020278736,0.0689227425039364,"DESeq2",0.0689227425039364,-7.27984856599344,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV49",264.82414176824,-10.9117097745012,2.13393646473353,-5.1134183022004,3.16380623818109e-07,2.25986159870078e-06,"DESeq2",2.25986159870078e-06,-10.9117097745012,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV50",51.954038882673,-8.56448951740602,2.36727860633953,-3.61786293107641,0.000297045630311065,0.000632011979385244,"DESeq2",0.000632011979385244,-8.56448951740602,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV51",27.3925905600524,-7.63571571210922,1.66784164950183,-4.57820184211729,4.68990045077518e-06,2.23328592894056e-05,"DESeq2",2.23328592894056e-05,-7.63571571210922,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV53",232.222386284177,-10.7221702050867,2.45546881417591,-4.36664890353545,1.26167286696685e-05,5.04669146786741e-05,"DESeq2",5.04669146786741e-05,-10.7221702050867,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV56",51.8759785479447,-8.55492762374607,2.29256968280967,-3.73158891871131,0.000190275823490313,0.000422835163311806,"DESeq2",0.000422835163311806,-8.55492762374607,TRUE,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus Nitrosopelagicus",NA
"ASV60",28.7105174052028,3.73685924243385,2.65718979465461,1.40632003402662,0.15962911374271,0.192324233424952,"DESeq2",0.192324233424952,3.73685924243385,FALSE,"Bacteria","Marinimicrobia (SAR406 clade)",NA,NA,NA,NA,NA
"ASV62",329.425858565209,4.2276680077307,1.3362625241274,3.16380047438017,0.00155723513419284,0.00278077702534436,"DESeq2",0.00278077702534436,4.2276680077307,TRUE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Lentimonas",NA
"ASV64",60.7777573867946,1.03140125858024,1.54318699923142,0.66835792363072,0.503905147207093,0.536069305539461,"DESeq2",0.536069305539461,1.03140125858024,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"ASV66",126.547317953925,1.29469820373756,1.21625557357665,1.06449518659161,0.287104433773399,0.315499377772966,"DESeq2",0.315499377772966,1.29469820373756,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",NA
"ASV71",37.6522028744522,2.30860866715499,2.10657517993956,1.09590613671867,0.273119853240461,0.306935268505772,"DESeq2",0.306935268505772,2.30860866715499,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA
"ASV72",30.720165762761,-1.0857871168495,3.18293766281776,-0.341127358393906,0.733007706135616,0.747967047077159,"DESeq2",0.747967047077159,-1.0857871168495,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116 clade",NA,NA
"ASV76",357.584312680095,-11.3442573362502,1.73741909933384,-6.52937298812923,6.60455911667403e-11,6.60455911667403e-09,"DESeq2",6.60455911667403e-09,-11.3442573362502,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV81",78.4606179338384,-9.15879843967279,2.14859270618898,-4.262696421379,2.01974826705713e-05,7.24253312723753e-05,"DESeq2",7.24253312723753e-05,-9.15879843967279,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV92",227.875554646095,2.98781179621728,1.25621865125732,2.37841700027844,0.0173871507431157,0.0289785845718595,"DESeq2",0.0289785845718595,2.98781179621728,TRUE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Coraliomargarita",NA
"ASV100",105.440938190462,24.1329505987483,4.32855870413985,5.5752855045416,2.47124230681739e-08,4.94248461363478e-07,"DESeq2",4.94248461363478e-07,24.1329505987483,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",NA
"ASV102",314.227976248598,7.87245541999811,2.35221121141381,3.34683185837989,0.000817407742560993,0.00151371804177962,"DESeq2",0.00151371804177962,7.87245541999811,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA
"ASV104",65.365443425926,3.39256112348985,3.12286819611418,1.0863606500304,0.277319463705127,0.308132737450142,"DESeq2",0.308132737450142,3.39256112348985,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA
"ASV111",57.4382926793368,-1.15439735372599,3.34617522079293,-0.344990108871956,0.730101806753777,0.747967047077159,"DESeq2",0.747967047077159,-1.15439735372599,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA
"ASV116",36.4494550945273,-21.5774012427672,4.40873902950014,-4.89423417861357,NA,NA,"DESeq2",NA,-21.5774012427672,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA
"ASV118",50.144726868929,2.13388152330562,1.13946222110646,1.87270932180054,0.0611085354235156,0.0804059676625206,"DESeq2",0.0804059676625206,2.13388152330562,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4 marine group",NA
"ASV126",164.29169438979,24.6987408646305,4.3283543287059,5.7062659359533,1.15481524535383e-08,2.88703811338457e-07,"DESeq2",2.88703811338457e-07,24.6987408646305,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Jiella",NA
"ASV138",92.1989519463847,10.5028097275114,1.82149030982993,5.76605303406308,8.11495326823596e-09,2.88703811338457e-07,"DESeq2",2.88703811338457e-07,10.5028097275114,TRUE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007",NA,NA
