"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.S-2","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV1","DESeq2",292.372653894209,-1.58737128012829,0.566277115139107,-2.80317045787441,0.00506029165578375,0.00872464078583405,"deseq2",0.00872464078583405,-1.58737128012829,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV1","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.264208666152314,3.16276201104151,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,4.99591042513747,4.78263833575261,6.02488269168329,1.25912594452311,0.422912046610388,3.16276201104151,0.000547999460257121,0.061623096240982,0.264208666152314,0.0015625,0.00447048611111111,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV1","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,-4.12386699350157,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV1",-4.12386699350157,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,2,TRUE
"ASV100","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.846072108910159,1.20380351363974,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",NA,-4.79592436828255,-6.21205424552992,3.96883551595206,10.3641142613027,8.44497587432318,1.20380351363974,0.0859442004378223,0.345859553162753,0.846072108910159,0.1375,0.274889871730447,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV100","DESeq2",105.440938190462,24.1329505987483,4.32855870413985,5.5752855045416,2.47124230681739e-08,4.94248461363478e-07,"deseq2",4.94248461363478e-07,24.1329505987483,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1010","DESeq2",37.2280462340527,9.19464558163526,2.06441083458257,4.45388361057232,8.43308270860916e-06,3.51378446192048e-05,"deseq2",3.51378446192048e-05,9.19464558163526,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE
"ASV1010","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.14244662504468,4.45826256960636,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae",NA,NA,-4.19372715593008,-6.43555432449921,5.47080762214022,11.8796265031207,2.71029143909294,4.45826256960636,0.000547999460257121,0.0162067372802764,0.14244662504468,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3,TRUE
"ASV1010","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,3.89650630329836,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV1010",3.89650630329836,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3,TRUE
"ASV102","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.187846505711358,3.68774351428665,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA,-0.848092207582329,-4.69464864209277,8.55861146635841,13.1561040113084,3.40170598586279,3.68774351428665,0.000547999460257121,0.0295650414499179,0.187846505711358,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3,TRUE
"ASV102","DESeq2",314.227976248598,7.87245541999811,2.35221121141381,3.34683185837989,0.000817407742560993,0.00151371804177962,"deseq2",0.00151371804177962,7.87245541999811,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE
"ASV102","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,4.79815180162166,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV102",4.79815180162166,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3,TRUE
"ASV1030","DESeq2",23.6766001493599,-7.43600523885766,1.74802420138245,-4.25394867701304,2.10033460689888e-05,7.24253312723753e-05,"deseq2",7.24253312723753e-05,-7.43600523885766,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Aliiglaciecola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1030","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.555082203342214,-1.86672386550664,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Aliiglaciecola",NA,0.863184258860608,1.30400000789261,-3.17888195459678,-4.68497014396953,2.5276286300923,-1.86672386550664,0.00789046640005469,0.151902987443106,0.555082203342214,0.2171875,0.545402039696916,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV104","DESeq2",65.365443425926,3.39256112348985,3.12286819611418,1.0863606500304,0.277319463705127,0.308132737450142,"deseq2",0.308132737450142,3.39256112348985,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE
"ASV104","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,4.04818789368561,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV104",4.04818789368561,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,TRUE
