"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.S-2","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV1","DESeq2",2166.04970286356,-0.646034603212868,0.243258017725053,-2.65575872587707,0.00791302070792473,0.0170707862463095,"deseq2",0.0170707862463095,-0.646034603212868,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.999901490214308,-0.272063926054145,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,6.78826651449602,6.96009165651994,6.73196050752009,-0.196914060207633,0.527536421158099,-0.272063926054145,0.382813130675644,0.677789053483374,0.999901490214308,0.745833333333332,1,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1013","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.747900193899261,-1.34407286421626,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,-0.0416607922297816,2.41577840564817,-6.73234305260524,-8.12348679144935,4.402071983754,-1.34407286421626,0.14844103615476,0.158053080043985,0.747900193899261,0.329166666666667,0.934110364971608,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1013","DESeq2",51.915115215203,-9.0841932064689,2.65698803925126,-3.41898159580305,0.00062855977682827,0.00174903590073953,"deseq2",0.00174903590073953,-9.0841932064689,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1032","DESeq2",17.5194615267493,7.9794044030129,1.15161907119999,6.92885746907468,4.24252972561405e-12,4.07282853658949e-11,"deseq2",4.07282853658949e-11,7.9794044030129,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Marinoscillum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV1032","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.0759966467017407,3.30915846252598,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Marinoscillum",NA,-4.79951722814494,-6.45121714327997,1.82045689165796,8.30268400410424,2.63259327004238,3.30915846252598,0.000547999460257121,0.0108740106329155,0.0759966467017407,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV104","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0747570908595694,3.58492882239999,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV104",3.58492882239999,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3,TRUE
"ASV104","DESeq2",118.629771832306,1.26137892311224,0.321806724150462,3.91967857863181,8.86671412985119e-05,0.0002790834611363,"deseq2",0.0002790834611363,1.26137892311224,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE
"ASV104","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.0680021630564259,3.09511090812139,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,2.31905100584599,1.92812285229263,3.71836948975965,1.80849841074522,0.563713633683533,3.09511090812139,0.000547999460257121,0.00666679474152463,0.0680021630564259,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3,TRUE
"ASV1071","DESeq2",20.5064184307929,-0.242276948979914,1.38736772585028,-0.17463066529923,0.861369851398316,0.90373230310643,"deseq2",0.90373230310643,-0.242276948979914,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Porticoccaceae","SAR92 clade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
