"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.S.2","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant","TaxLabel","significance_label"
"ASV1","DESeq2",292.372653894209,-1.58737128012829,0.566277115139107,-2.80317045787441,0.00506029165578375,0.00872464078583405,"deseq2",0.00872464078583405,-1.58737128012829,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,"Clade Ia","Significant"
"ASV1","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,-4.15189042790311,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV1",-4.15189042790311,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3,TRUE,"Clade Ia","Significant"
"ASV1","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.23894928317779,3.03397763719153,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,4.9843250103977,4.77757341891397,5.98624983259847,1.22668658681233,0.410263142672104,3.03397763719153,0.000547999460257121,0.0510745322059965,0.23894928317779,0.0015625,0.00447048611111111,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3,TRUE,"Clade Ia","Significant"
"ASV100","DESeq2",105.440938190462,24.1329505987483,4.32855870413985,5.5752855045416,2.47124230681739e-08,4.94248461363478e-07,"deseq2",4.94248461363478e-07,24.1329505987483,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Hyphomicrobium","Significant"
"ASV100","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.823644652317408,1.17664530940741,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",NA,-4.73383240098447,-6.5265879070252,4.74099879990863,10.8046968184138,8.1604481182034,1.17664530940741,0.0859442004378223,0.330516048661959,0.823644652317408,0.109375,0.244180889042138,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Hyphomicrobium","Significant"
"ASV1010","DESeq2",37.2280462340527,9.19464558163526,2.06441083458257,4.45388361057232,8.43308270860916e-06,3.51378446192048e-05,"deseq2",3.51378446192048e-05,9.19464558163526,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,NA,"Significant"
"ASV1010","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.134612729033873,4.70459304049718,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae",NA,NA,-4.1388964900415,-6.11780160984325,5.51998308431067,11.7660664788575,2.773909242365,4.70459304049718,0.000547999460257121,0.0148764166974512,0.134612729033873,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,NA,"Significant"
"ASV102","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.193706370369565,3.58609414928618,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA,-0.918368042248017,-4.78734611875371,8.5496947836212,13.2799828654014,3.44936305453805,3.58609414928618,0.000547999460257121,0.032005260721545,0.193706370369565,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3,TRUE,NA,"Significant"
"ASV102","DESeq2",314.227976248598,7.87245541999811,2.35221121141381,3.34683185837989,0.000817407742560993,0.00151371804177962,"deseq2",0.00151371804177962,7.87245541999811,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,NA,"Significant"
"ASV102","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,4.79098590333621,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV102",4.79098590333621,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3,TRUE,NA,"Significant"
"ASV1030","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.57161514546521,-1.89306487521235,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Aliiglaciecola",NA,0.874633716284995,1.28226451925726,-2.80083477344971,-4.21020692941215,2.490402240508,-1.89306487521235,0.00782930484115282,0.159907454584628,0.57161514546521,0.203125,0.535105640163582,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Aliiglaciecola","Significant"
"ASV1030","DESeq2",23.6766001493599,-7.43600523885766,1.74802420138245,-4.25394867701304,2.10033460689888e-05,7.24253312723753e-05,"deseq2",7.24253312723753e-05,-7.43600523885766,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Aliiglaciecola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Aliiglaciecola","Significant"
"ASV104","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.307475268411296,1.95373123339191,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,1.54717312430705,-5.38069263354244,6.06212561492365,11.4782705543317,5.73256430055054,1.95373123339191,0.000547999460257121,0.0780231110239966,0.307475268411296,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,"NS2b marine group","Significant"
