"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant","TaxLabel","significance_label"
"ASV1","DESeq2",305.682348552407,-1.7421115195952,0.74238299649146,-2.34664792678241,0.0189431450427046,0.03192270738678,"deseq2",0.03192270738678,-1.7421115195952,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Clade Ia","Significant"
"ASV1010","DESeq2",110.910509547658,11.5645261647363,2.03406500309285,5.68542605430607,1.30486936605552e-08,3.37537160198893e-07,"deseq2",3.37537160198893e-07,11.5645261647363,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae",NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,NA,"Significant"
"ASV102","DESeq2",179.065129495492,7.82515421284693,3.13775004682258,2.4938743035861,0.0126357281508501,0.0221125242639876,"deseq2",0.0221125242639876,7.82515421284693,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,NA,"Significant"
"ASV1030","DESeq2",27.798506850027,-6.68442100814342,2.24056620274763,-2.98336241970723,0.00285100179889887,0.00782547184723515,"deseq2",0.00782547184723515,-6.68442100814342,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Aliiglaciecola",NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Aliiglaciecola","Significant"
"ASV104","DESeq2",66.5797047893422,4.34261199149052,4.05881847286935,1.06992022937664,0.284655216586931,0.336410710511828,"deseq2",0.336410710511828,4.34261199149052,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"NS2b marine group","Not Significant"
"ASV111","DESeq2",48.526537982949,-7.47099451912368,4.22739228782711,-1.76728205249288,0.0771810040223903,0.121094333897199,"deseq2",0.121094333897199,-7.47099451912368,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,"Not Significant"
"ASV1133","DESeq2",52.9992451965705,-7.59544663737151,2.54435910557758,-2.98521015399173,0.00283383558905691,0.00782547184723515,"deseq2",0.00782547184723515,-7.59544663737151,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Aurantivirga","Significant"
"ASV116","DESeq2",45.2280724372632,-19.5540583067315,5.65001428723216,-3.46088652393667,0.000538399708103796,0.00288202196690856,"deseq2",0.00288202196690856,-19.5540583067315,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Sedimentitalea","Significant"
"ASV1194","DESeq2",41.9674073296242,-7.25932402419659,2.77896108873487,-2.61224385387182,0.00899500689488872,0.0170530339048932,"deseq2",0.0170530339048932,-7.25932402419659,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,NA,"Significant"
"ASV1218","DESeq2",41.2526787823919,-1.64857388679125,1.79626115612553,-0.917780736486652,0.358733669310887,0.411549556747294,"deseq2",0.411549556747294,-1.64857388679125,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aureicoccus","marinus",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Aureicoccus","Not Significant"
