"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","rab.all","rab.win.control","rab.win.Dor.in","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant","significant_in_aldex2","significant_in_lefse","method_overlap","relab_control","relab_contrast","dominant_group","avg_relab","Kingdom","Phylum","Class","Order","Family","Genus","Species","tax_group","neg_log_p"
"ASV1","DESeq2",290.209324969744,-5.02409479842631,1.75687643346649,-2.85967453528491,0.00424075987327059,0.00647893869527451,"deseq2",0.00647893869527451,-5.02409479842631,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.0329588503765482,0.00109633094576816,"control",0.0329588503765482,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,"Clade Ia",2.18849612939716
"ASV1014","DESeq2",35.0367933277826,8.87637932550399,1.88515435646441,4.70856898007627,2.49461946054683e-06,7.62244835167087e-06,"deseq2",7.62244835167087e-06,8.87637932550399,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0,0.00690023667173076,"contrast",0.00690023667173076,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Psychromonadaceae","Agarivorans",NA,"Agarivorans",5.11790550965334
"ASV1030","DESeq2",28.0406845232222,-8.03002295433613,1.65992105578806,-4.83759328573841,1.31420710374066e-06,4.38069034580221e-06,"deseq2",4.38069034580221e-06,-8.03002295433613,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00325825138696003,0,"control",0.00325825138696003,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Aliiglaciecola",NA,"Aliiglaciecola",5.35845744434802
"ASV1053","DESeq2",98.1022384369446,10.3617569656778,1.69308642674851,6.1200401834046,9.35517628211186e-10,1.28633673879038e-08,"deseq2",1.28633673879038e-08,10.3617569656778,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0,0.019783864626582,"contrast",0.019783864626582,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae",NA,NA,NA,7.89064532639244
"ASV1075","DESeq2",27.2239689260401,8.51237831238861,1.96470608173107,4.33264720435358,1.47327092463468e-05,3.27195957145084e-05,"deseq2",3.27195957145084e-05,8.51237831238861,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0,0.00537948201786953,"contrast",0.00537948201786953,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ruegeria","conchae","Ruegeria",4.48519207113894
"ASV1077","DESeq2",28.0584522467216,8.55591059453897,1.93672535595668,4.41772013167692,9.97474612338881e-06,2.38526537733211e-05,"deseq2",2.38526537733211e-05,8.55591059453897,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0,0.00559938455168488,"contrast",0.00559938455168488,"Bacteria","Verrucomicrobiota","Lentisphaeria","Lentisphaerales","Lentisphaeraceae","Lentisphaera",NA,"Lentisphaera",4.62246329565974
"ASV111","DESeq2",50.8436394444345,-8.87510960731235,3.92028107285031,-2.2638962468218,0.0235804968504093,0.0324231831693128,"deseq2",0.0324231831693128,-8.87510960731235,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00598490996131337,0,"control",0.00598490996131337,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,1.48914435022148
"ASV1133","DESeq2",67.5897460415711,-1.56879050766187,1.0507545554074,-1.49301328230132,0.13543371012093,0.15675708084393,"deseq2",0.15675708084393,-1.56879050766187,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00645860311179179,0.00246449014974826,"control",0.00645860311179179,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,"Aurantivirga",0.804772832621705
"ASV1179","DESeq2",31.6806364958462,-0.0527536291731831,0.77466695461661,-0.0680984632929016,0.945707253633592,0.95438346696968,"deseq2",0.95438346696968,-0.0527536291731831,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.002243845340858,0.00246449014974826,"contrast",0.00246449014974826,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquimarina",NA,"Aquimarina",0.0202770926675857
"ASV1191","DESeq2",29.755812097696,8.64067821878197,1.94667286518118,4.43869043090492,9.05078845629025e-06,2.21241495598206e-05,"deseq2",2.21241495598206e-05,8.64067821878197,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0,0.00586438877095301,"contrast",0.00586438877095301,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Lutimonas",NA,"Lutimonas",4.65513341435107
