"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","rab.all","rab.win.control","rab.win.Dor.out","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant","significant_in_aldex2","significant_in_lefse","method_overlap","relab_control","relab_contrast","dominant_group","avg_relab","Kingdom","Phylum","Class","Order","Family","Genus","Species","tax_group","neg_log_p"
"ASV1","DESeq2",386.466764684341,-4.51509249515564,1.14849391136164,-3.93131600480374,8.44821398879643e-05,0.000131550760682687,"deseq2",0.000131550760682687,-4.51509249515564,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.0329588503765482,0.00294218416134228,"control",0.0329588503765482,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,"Clade Ia",3.88090663629482
"ASV1030","DESeq2",37.7910601669596,-9.05586195035638,1.61369504442926,-5.61187938304619,2.00140928036643e-08,5.19413360857003e-08,"deseq2",5.19413360857003e-08,-9.05586195035638,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00325825138696003,0,"control",0.00325825138696003,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Aliiglaciecola",NA,"Aliiglaciecola",7.28448688321684
"ASV1075","DESeq2",31.9849362512682,8.34868544220132,1.39581088406558,5.98124397617829,2.21439902624074e-09,9.67625020682517e-09,"deseq2",9.67625020682517e-09,8.34868544220132,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0,0.00949039150495595,"contrast",0.00949039150495595,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ruegeria","conchae","Ruegeria",8.01429291025243
"ASV1077","DESeq2",20.1533072609829,7.67797659802016,1.52325705475759,5.04049961497931,4.64318061943018e-07,8.87906469329631e-07,"deseq2",8.87906469329631e-07,7.67797659802016,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0,0.00570108319844101,"contrast",0.00570108319844101,"Bacteria","Verrucomicrobiota","Lentisphaeria","Lentisphaerales","Lentisphaeraceae","Lentisphaera",NA,"Lentisphaera",6.05163277970943
"ASV111","DESeq2",64.3784206652951,-4.78803607199293,2.87130112697429,-1.66754926086016,0.0954052377648584,0.108324697045516,"deseq2",0.108324697045516,-4.78803607199293,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00598490996131337,0.000398128794665074,"control",0.00598490996131337,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,0.965272516894508
"ASV1133","DESeq2",70.790839908863,-5.24886251297558,1.47161165849954,-3.56674431237337,0.000361443832877935,0.000547185802551318,"deseq2",0.000547185802551318,-5.24886251297558,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00645860311179179,0.000395955165692008,"control",0.00645860311179179,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,"Aurantivirga",3.26186517947802
"ASV1158","DESeq2",23.737833137198,7.91984733155026,1.34828528783453,5.87401450049958,4.2536614085824e-09,1.44890341729838e-08,"deseq2",1.44890341729838e-08,7.91984733155026,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0,0.00715573209424477,"contrast",0.00715573209424477,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Salinirepens",NA,"Salinirepens",7.83896056327441
"ASV1179","DESeq2",33.5371224115052,-0.941814668697499,0.675555859255689,-1.39413292889676,0.163277467092406,0.183476741371879,"deseq2",0.183476741371879,-0.941814668697499,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.002243845340858,0.00265120890877205,"contrast",0.00265120890877205,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquimarina",NA,"Aquimarina",0.736418981733748
"ASV1191","DESeq2",27.0737356163472,8.10682975385556,1.48742845123116,5.45023173863956,5.03042284879943e-08,1.21848020115364e-07,"deseq2",1.21848020115364e-07,8.10682975385556,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0,0.00785979689319846,"contrast",0.00785979689319846,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Lutimonas",NA,"Lutimonas",6.91418152318798
"ASV1194","DESeq2",55.0905082455031,-9.58011007801162,2.02230425327976,-4.73722490692222,2.16664669607203e-06,3.74864269637859e-06,"deseq2",3.74864269637859e-06,-9.58011007801162,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00512642473358222,0,"control",0.00512642473358222,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA,5.42612595258624
