"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant","significant_in_aldex2","significant_in_lefse","method_overlap","relab_control","relab_contrast","dominant_group","avg_relab","Kingdom","Phylum","Class","Order","Family","Genus","Species","tax_group","neg_log_p"
"ASV1","DESeq2",448.894332602278,0.921543812732572,0.824590081738989,1.11750003627144,0.263780584084386,0.31798207396474,"deseq2",0.31798207396474,0.921543812732572,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.0329588503765482,0.0227831621582526,"control",0.0329588503765482,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,"Clade Ia",0.497597362398064
"ASV1030","DESeq2",26.9484295581363,-5.17274399532801,2.0198273282406,-2.55934934375749,0.0104868299229269,0.0251629370184932,"deseq2",0.0251629370184932,-5.17274399532801,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00325825138696003,0,"control",0.00325825138696003,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Aliiglaciecola",NA,"Aliiglaciecola",1.59923866940793
"ASV1047","DESeq2",77.5383915146765,8.08394774307929,2.40493411649351,2.99569888587246,0.00273816673957424,0.0100399447117722,"deseq2",0.0100399447117722,8.08394774307929,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0,0.0100535223491972,"contrast",0.0100535223491972,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales",NA,NA,NA,NA,1.99826867876853
"ASV111","DESeq2",55.4646301038915,-0.546514512963485,2.32395241140415,-0.23830514632686,0.811644430124833,0.871033046963235,"deseq2",0.871033046963235,-0.546514512963485,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00598490996131337,0.0011572399826414,"control",0.00598490996131337,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,0.0599653675623553
"ASV1133","DESeq2",51.5036189158439,-5.70632885712639,2.10005534031659,-2.70441080811972,0.0068425636496393,0.0188170500365081,"deseq2",0.0188170500365081,-5.70632885712639,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00645860311179179,0,"control",0.00645860311179179,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,"Aurantivirga",1.72544846025439
"ASV116","DESeq2",42.6060362847004,-1.73952756944924,2.52361797401485,-3.49887129764748,0.000467232051999856,0.00342636838133228,"deseq2",0.00342636838133228,-1.73952756944924,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00503902402061074,0,"control",0.00503902402061074,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA,"Sedimentitalea",2.46516594628026
"ASV1194","DESeq2",40.9631099092578,-5.17251600340069,2.17510853554448,-2.36605264503975,0.0179788876554035,0.0336625981633087,"deseq2",0.0336625981633087,-5.17251600340069,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00512642473358222,0,"control",0.00512642473358222,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA,1.47285236713495
"ASV1218","DESeq2",37.3259612706341,-5.01586552087056,2.19523533251628,-2.27724903153134,0.0227713586769283,0.0400775912713938,"deseq2",0.0400775912713938,-5.01586552087056,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00451800899342625,0,"control",0.00451800899342625,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aureicoccus","marinus","Aureicoccus",1.3970983881632
"ASV1232","DESeq2",33.3983602463186,-2.49357850872336,2.50341568839663,-1.41447850926856,0.15722145299504,0.212853659439439,"deseq2",0.212853659439439,-2.49357850872336,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00436006961258227,0,"control",0.00436006961258227,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA,0.671918878910883
"ASV1233","DESeq2",42.8024742319374,-5.86729235670922,1.92229404246505,-3.05167835164472,0.0022756581026073,0.0095360910966401,"deseq2",0.0095360910966401,-5.86729235670922,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.0054230284346084,0,"control",0.0054230284346084,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae",NA,NA,NA,2.02062960884344
"ASV1253","DESeq2",43.4602543394034,-5.90756027433809,1.90922413442427,-3.0937427485964,0.00197648785809265,0.00915425955327124,"deseq2",0.00915425955327124,-5.90756027433809,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00545809837927336,0,"control",0.00545809837927336,"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella",NA,"Arenicella",2.03837677806172
"ASV13","DESeq2",85.4024078091894,-0.961032416578571,0.852389423507195,-1.12658470893414,0.259918107168869,0.317677686539729,"deseq2",0.317677686539729,-0.961032416578571,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00915929924084153,0.00159120497613193,"control",0.00915929924084153,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,"Clade Ib",0.498013288644653
"ASV1328","DESeq2",36.4944558586707,-5.25502136394797,2.15138650285533,-2.43876908175968,0.0147373822147964,0.0301602240674903,"deseq2",0.0301602240674903,-5.25502136394797,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00482684466345141,0,"control",0.00482684466345141,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,1.5205654363131
"ASV1334","DESeq2",24.9974036552952,-5.08440837775945,2.02075001263112,-2.51451537460736,0.011919610530229,0.0276033085963198,"deseq2",0.0276033085963198,-5.08440837775945,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00303419663710719,0,"control",0.00303419663710719,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","Dasania",NA,"Dasania",1.55903885927516
"ASV1401","DESeq2",78.0962216694583,8.10356603228757,2.40316798583101,3.00585141140558,0.00264838379297772,0.0100399447117722,"deseq2",0.0100399447117722,8.10356603228757,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0,0.0101258498481123,"contrast",0.0101258498481123,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae","Pleurocapsa PCC-7319",NA,"Pleurocapsa PCC-7319",1.99826867876853
"ASV141","DESeq2",20.7700331944501,-4.87503459630768,2.01408250327341,-2.41931205735528,0.0155498939296073,0.0304086814623432,"deseq2",0.0304086814623432,-4.87503459630768,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00260779967750312,0,"control",0.00260779967750312,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,"Synechococcus CC9902",1.51700241070241
