"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant","significant_in_aldex2","significant_in_lefse","method_overlap","relab_control","relab_contrast","dominant_group","avg_relab","Kingdom","Phylum","Class","Order","Family","Genus","Species","tax_group","neg_log_p"
"ASV1","DESeq2",2033.62326347199,0.527275736061885,0.409846079221443,1.28652385137063,0.198260300222928,0.295217771281154,"deseq2",0.295217771281154,0.527275736061885,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.080829856213963,0.0668945763651483,"control",0.080829856213963,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,"Clade Ia",0.529857502753343
"ASV1013","DESeq2",48.1278074517255,-3.72559261277609,2.06695273486287,-2.11943889580867,0.0340533926066772,0.0717642606161712,"deseq2",0.0717642606161712,-3.72559261277609,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00251982079076456,0,"control",0.00251982079076456,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,"Synechococcus CC9902",1.14409178530449
"ASV104","DESeq2",72.6214599439254,0.982407354127024,0.50368447817853,1.95117206189308,0.0510365812262435,0.0972125356690351,"deseq2",0.0972125356690351,0.982407354127024,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.0026768482020451,0.00300286427053497,"contrast",0.00300286427053497,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,"NS2b marine group",1.0122777286863
"ASV108","DESeq2",123.774592945712,0.206311374814164,0.260322257733563,0.792590540665706,0.428016421721143,0.522768148667045,"deseq2",0.522768148667045,0.206311374814164,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00502526323510365,0.00341864547722443,"control",0.00502526323510365,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,"Clade Ia",0.281690881075313
"ASV111","DESeq2",146.762203165951,0.00491933225812624,0.463750697904982,0.0106077060440368,0.991536433847138,0.991536433847138,"deseq2",0.991536433847138,0.00491933225812624,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00641035148628548,0.00364963503649635,"control",0.00641035148628548,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,0.00369132308444169
"ASV1122","DESeq2",51.8296459936252,6.06197267623593,2.21305030983497,2.29071733451195,0.0219797673933752,0.049531870182254,"deseq2",0.049531870182254,6.06197267623593,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,FALSE,TRUE,"DESeq2 + LEfSe",0,0.0064215097477594,"contrast",0.0064215097477594,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Spongiivirga",NA,"Spongiivirga",1.30511527398606
"ASV113","DESeq2",108.583140921065,-1.27539441053693,0.360671617094067,-3.53078190958399,0.000414333224212692,0.00236761842407253,"deseq2",0.00236761842407253,-1.27539441053693,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00513222415700293,0.00124734362006837,"control",0.00513222415700293,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA,"Cyanobium PCC-6307",2.62568828914202
"ASV115","DESeq2",77.9383369547075,1.40923436619113,0.558131080842414,2.5258958378017,0.0115403691891224,0.0279766525796906,"deseq2",0.0279766525796906,1.40923436619113,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00241544796358166,0.00388062459576827,"contrast",0.00388062459576827,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA,"Candidatus Actinomarina",1.55320425028513
"ASV116","DESeq2",70.6685317523707,-3.0444513641952,2.13856879233468,-2.05210390262033,0.0401595657603227,0.0803191315206453,"deseq2",0.0803191315206453,-3.0444513641952,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00316540418337923,0,"control",0.00316540418337923,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA,"Sedimentitalea",1.09518099613818
"ASV1165","DESeq2",49.5740637570854,-1.34730602526365,2.1918276679774,-1.36450521353823,0.172408614466408,0.270444885437502,"deseq2",0.270444885437502,-1.34730602526365,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00197160879319425,0,"control",0.00197160879319425,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae",NA,NA,NA,0.567921227375082
