"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","rab.all","rab.win.control","rab.win.S.3","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant","significant_in_aldex2","significant_in_lefse","method_overlap","relab_control","relab_contrast","dominant_group","avg_relab","Kingdom","Phylum","Class","Order","Family","Genus","Species","tax_group","neg_log_p"
"ASV1","DESeq2",2137.56353063723,-0.36305471291441,0.249350920536163,-1.45599908808741,0.14539287169984,0.200296473600479,"deseq2",0.200296473600479,-0.36305471291441,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.080829856213963,0.0767089084167673,"control",0.080829856213963,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,"Clade Ia",0.69832669678398
"ASV1013","DESeq2",48.2408390939971,-8.7945949778125,2.71350115790039,-3.24105075548132,0.00119089978075004,0.00320312953884099,"deseq2",0.00320312953884099,-8.7945949778125,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00251982079076456,0,"control",0.00251982079076456,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,"Synechococcus CC9902",2.49442549753154
"ASV104","DESeq2",126.749313521041,1.58327780761227,0.32049243548661,4.94014095904744,7.80661152141913e-07,2.84796753651772e-06,"deseq2",2.84796753651772e-06,1.58327780761227,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.0026768482020451,0.00978331031396253,"contrast",0.00978331031396253,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,"NS2b marine group",5.54546496545357
"ASV108","DESeq2",132.059002985273,-0.584983447523001,0.137219571431411,-4.26311962222827,2.01592527473016e-05,6.40543998583617e-05,"deseq2",6.40543998583617e-05,-0.584983447523001,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00502526323510365,0.00422531706953142,"control",0.00502526323510365,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,"Clade Ia",4.19345103346685
"ASV1097","DESeq2",20.667467767131,8.30952348008914,1.12526359789953,7.38451283379295,1.53012596858561e-13,1.20573926324546e-12,"deseq2",1.20573926324546e-12,8.30952348008914,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0,0.00265058905426831,"contrast",0.00265058905426831,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Lentibacter","algarum","Lentibacter",11.9187465966539
"ASV111","DESeq2",121.164563567067,-10.1258223851928,1.4790274700518,-6.84627066787214,7.58000025636417e-12,4.66643765782419e-11,"deseq2",4.66643765782419e-11,-10.1258223851928,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.00641035148628548,0,"control",0.00641035148628548,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,10.3310145318379
"ASV113","DESeq2",154.212829097188,0.045525869573402,0.181566661214738,0.250739145990897,0.802015793119011,0.892007008398608,"deseq2",0.892007008398608,0.045525869573402,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00513222415700293,0.00671063925215016,"contrast",0.00671063925215016,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA,"Cyanobium PCC-6307",0.0496317334076377
"ASV115","DESeq2",136.646750938969,1.91360701887379,0.253868403755692,7.53779119640008,4.77998400826613e-14,4.70828424814214e-13,"deseq2",4.70828424814214e-13,1.91360701887379,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.00241544796358166,0.0114469023579194,"contrast",0.0114469023579194,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA,"Candidatus Actinomarina",12.327137325847
"ASV116","DESeq2",73.3207676760621,-9.39826775728142,2.98732776683931,-3.14604505792985,0.00165494507705228,0.00428979184446445,"deseq2",0.00428979184446445,-9.39826775728142,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00316540418337923,0,"control",0.00316540418337923,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA,"Sedimentitalea",2.36756378077418
"ASV1165","DESeq2",49.1256605375326,-8.82040341671499,4.20696087073818,-2.09662121605788,0.0360271196529608,0.0622573909792393,"deseq2",0.0622573909792393,-8.82040341671499,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00197160879319425,0,"control",0.00197160879319425,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae",NA,NA,NA,1.20580908325295
"ASV117","DESeq2",22.6755851028689,4.90413298016621,2.4891625045866,1.97019397935238,0.048816143304082,0.0781852051293021,"deseq2",0.0781852051293021,4.90413298016621,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",6.70151454228656e-05,0.00272248554788869,"contrast",0.00272248554788869,"Bacteria","Chloroflexi","Dehalococcoidia","SAR202 clade",NA,NA,NA,NA,1.10687542006795
"ASV118","DESeq2",27.146706004136,0.525556098759518,0.354322506151945,1.48327043762256,0.138002573381207,0.191454274338717,"deseq2",0.191454274338717,0.525556098759518,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.000814750948091075,0.0014541331559648,"contrast",0.0014541331559648,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4 marine group",NA,"NS4 marine group",0.717934933306909
"ASV124","DESeq2",18.4704866149532,3.9451919983653,1.54297322046835,2.55687651997471,0.0105616701235655,0.0228642748828836,"deseq2",0.0228642748828836,3.9451919983653,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.000124551611596244,0.00209276676613681,"contrast",0.00209276676613681,"Bacteria","SAR324 clade(Marine group B)",NA,NA,NA,NA,NA,NA,1.64084256727066
"ASV1245","DESeq2",22.3894306283297,-7.69486287623808,1.54811353323075,-4.97047710717943,6.67883474779931e-07,2.48251027418201e-06,"deseq2",2.48251027418201e-06,-7.69486287623808,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00120421428565934,0,"control",0.00120421428565934,"Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","OCS116 clade",NA,NA,NA,5.60510894544635
"ASV125","DESeq2",57.3394023393666,-0.729695476005656,2.57581850970688,-0.28328683610892,0.776956967423484,0.876367243879931,"deseq2",0.876367243879931,-0.729695476005656,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00263231806473847,0.00170692193853263,"control",0.00263231806473847,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,0.0573138635029928
"ASV1287","DESeq2",29.0415643196558,-8.06242274392323,2.67470104713779,-3.01432668617334,0.00257550314937312,0.00642245722058868,"deseq2",0.00642245722058868,-8.06242274392323,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00151465401338965,0,"control",0.00151465401338965,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313",NA,"Prochlorococcus MIT9313",2.19229877984856
"ASV1288","DESeq2",59.5402035365294,-9.09782319581548,4.20680361467021,-2.16264509331717,0.030568487156716,0.0547453815443006,"deseq2",0.0547453815443006,-9.09782319581548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00236243674913325,0,"control",0.00236243674913325,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oceaniserpentilla",NA,"Oceaniserpentilla",1.26165251309841
"ASV13","DESeq2",749.759745023898,-0.895631683048844,0.209964225637824,-4.26563944561563,1.99330467307204e-05,6.40543998583617e-05,"deseq2",6.40543998583617e-05,-0.895631683048844,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.0293267515775499,0.0203700411137379,"control",0.0293267515775499,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,"Clade Ib",4.19345103346685
"ASV130","DESeq2",84.9522535201848,-0.0982751018177025,0.27920136721129,-0.351986463387664,0.72484841433645,0.839971397789886,"deseq2",0.839971397789886,-0.0982751018177025,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00292342387774559,0.00345937801118336,"contrast",0.00345937801118336,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,"Clade Ia",0.0757355020256301
"ASV131","DESeq2",108.757601096043,-1.54403853688591,0.314826500394161,-4.90441095318465,9.37081195211062e-07,3.3563570523237e-06,"deseq2",3.3563570523237e-06,-1.54403853688591,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00483855624329587,0.00203649568981431,"control",0.00483855624329587,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,"Synechococcus CC9902",5.47413184474274
"ASV133","DESeq2",103.082858524229,-0.968344168530976,0.240465989498196,-4.02694855331398,5.65053898829852e-05,0.000173930653233564,"deseq2",0.000173930653233564,-0.968344168530976,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00417726952526037,0.00267378718221076,"control",0.00417726952526037,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA,NA,3.7596238719534
