"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","rab.all","rab.win.control","rab.win.pollution_cruise","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant","significant_in_aldex2","significant_in_lefse","method_overlap","relab_control","relab_contrast","dominant_group","avg_relab","Kingdom","Phylum","Class","Order","Family","Genus","Species","tax_group","neg_log_p"
"ASV1","DESeq2",1964.57894095177,-0.813440198876189,0.679922824897699,-1.19628451183417,0.231585550728746,0.380615141244003,"deseq2",0.380615141244003,-0.813440198876189,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.080829856213963,0.0652315999792539,"control",0.080829856213963,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,"Clade Ia",0.419513939044472
"ASV1000","DESeq2",14.6632576451111,4.29637211338017,1.98258853867095,2.20892007262994,0.0271802007750334,0.0784469209360721,"deseq2",0.0784469209360721,4.29637211338017,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0,0.00096431244262693,"contrast",0.00096431244262693,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","MB11C04 marine group",NA,"MB11C04 marine group",1.10542409792429
"ASV1008","DESeq2",13.7734924848378,0.566668143825052,1.44071050419721,0.393623842288056,0.693858775848096,0.823812258950081,"deseq2",0.823812258950081,0.566668143825052,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.000325990217846817,0.000631695599235246,"contrast",0.000631695599235246,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group",NA,NA,NA,0.0841717497008426
"ASV1013","DESeq2",26.5239388616552,-7.31540495462817,1.7653257959882,-3.99039379921366,6.59636807721444e-05,0.000520380148313583,"deseq2",0.000520380148313583,-7.31540495462817,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00251982079076456,0,"control",0.00251982079076456,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,"Synechococcus CC9902",3.28367927944772
"ASV1017","DESeq2",12.8264625224452,4.97653288677063,1.74128635530988,2.84421731766773,0.00445206711814806,0.0181664807694547,"deseq2",0.0181664807694547,4.97653288677063,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0,0.000827786616309397,"contrast",0.000827786616309397,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","IS-44",NA,"IS-44",1.74072919654649
"ASV103","DESeq2",24.1599616589602,5.37381704271926,1.85417362762284,2.8871211501612,0.00388784498010819,0.0164307734278382,"deseq2",0.0164307734278382,5.37381704271926,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0,0.00137409324988124,"contrast",0.00137409324988124,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus","Prochlorococcus MIT9313",1.78434199301433
"ASV104","DESeq2",78.9901844412948,-0.348153500176469,0.864254318207918,-0.402817092457592,0.68708278605144,0.818504661235775,"deseq2",0.818504661235775,-0.348153500176469,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.0026768482020451,0.00305805494975929,"contrast",0.00305805494975929,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,"NS2b marine group",0.0869788430165947
"ASV1040","DESeq2",12.4902968161568,-3.4536777995217,1.63291974123037,-2.08604612077411,0.0369744455074566,0.0994388496602052,"deseq2",0.0994388496602052,-3.4536777995217,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.000995164632035989,8.31686291850178e-05,"control",0.000995164632035989,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,1.0024439083921
"ASV1071","DESeq2",15.9743898342957,-0.909823892538099,1.35048192165298,-0.67269665736838,0.50114029458583,0.642255612194836,"deseq2",0.642255612194836,-0.909823892538099,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.000771779111093099,0.000500543569286451,"control",0.000771779111093099,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Porticoccaceae","SAR92 clade",NA,"SAR92 clade",0.192292092068079
"ASV108","DESeq2",128.694231990357,-0.76850253199042,0.563340501001736,-1.36420069858477,0.172504408399157,0.304060219456595,"deseq2",0.304060219456595,-0.76850253199042,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00502526323510365,0.00445038980447355,"control",0.00502526323510365,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,"Clade Ia",0.517040395379014
