"TaxaID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1",152.827218623191,-1.31322780426416,1.10702873083441,-1.185357035757,0.235876311392781,0.337584445663063,"DESeq2",0.337584445663063,-1.31322780426416,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV2",16.1556714538982,-0.575934483355816,1.84939955918191,-0.92894736910719,0.352916362567465,0.466567394580717,"DESeq2",0.466567394580717,-0.575934483355816,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus"
"ASV3",80.6510540666484,-1.3351685230153,1.16592116683465,-1.14408729038695,0.2525874380151,0.354987750723925,"DESeq2",0.354987750723925,-1.3351685230153,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV4",124.77605963222,-0.489081699629692,1.17085415103435,-0.417563371532646,0.676266381918273,0.742940532248243,"DESeq2",0.742940532248243,-0.489081699629692,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV5",98.7406785219654,-0.829109337743098,1.12685687187806,-0.73539963172156,0.462096146080216,0.567614163689084,"DESeq2",0.567614163689084,-0.829109337743098,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV6",77.1208145989315,-1.24727199876762,1.65082994241269,-0.752141240810825,0.451966125181635,0.56405372422668,"DESeq2",0.56405372422668,-1.24727199876762,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV9",3.60567244558895,2.33441446052926,2.15378998571707,-0.600768008728849,0.54799451465396,0.642760483353517,"DESeq2",0.642760483353517,2.33441446052926,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Glaciecola",NA
"ASV13",45.0792359408135,-0.975403360341978,1.66080266555134,-0.585154319143825,0.558443957460619,0.650128786297437,"DESeq2",0.650128786297437,-0.975403360341978,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV20",28.8483477781752,-1.44872449384464,1.47255838483001,-0.980925183317294,0.326629637646369,0.4392605471796,"DESeq2",0.4392605471796,-1.44872449384464,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV21",14.7695838226436,-0.736781662433918,1.88266008896787,-0.389239769650703,0.697098786631815,0.751689132349407,"DESeq2",0.751689132349407,-0.736781662433918,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group",NA,NA
"ASV23",73.5977246156317,8.29546297317085,1.61800445607617,5.08498940133687,3.67646598601404e-07,1.9117623127273e-05,"DESeq2",1.9117623127273e-05,8.29546297317085,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA
"ASV24",79.0834843582168,-8.57999212510095,1.85547936816835,-4.46624939595983,7.96028085829397e-06,0.000206967302315643,"DESeq2",0.000206967302315643,-8.57999212510095,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV27",52.4307242147426,-3.79693913861981,1.87493378003575,-2.44591514807441,NA,NA,"DESeq2",NA,-3.79693913861981,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oceaniserpentilla",NA
"ASV30",12.4996539764869,-5.8400144493155,2.09363222391669,-2.64305324818403,0.0082162112883067,0.0228880171602829,"DESeq2",0.0228880171602829,-5.8400144493155,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV31",4.89247019012589,5.53696312422414,2.04118912439102,2.07704966327504,0.0377969757417538,0.074637066021691,"DESeq2",0.074637066021691,5.53696312422414,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",NA
"ASV34",23.1608286126118,-1.18637998515054,1.76710563295076,-0.667417660669816,0.504505388156702,0.607987696572977,"DESeq2",0.607987696572977,-1.18637998515054,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade IV",NA,NA
"ASV35",461.226086338843,9.14311659888154,1.76352695106975,5.38879019662126,7.09335535167772e-08,7.9075365090899e-06,"DESeq2",7.9075365090899e-06,9.14311659888154,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA
"ASV37",55.5664788676214,0.719238036303816,1.70994551103366,0.42212780592711,0.672931733076429,0.742940532248243,"DESeq2",0.742940532248243,0.719238036303816,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV39",20.1794066350837,-0.729942811379572,1.62880080454249,-0.447060558920149,0.654831335446359,0.742940532248243,"DESeq2",0.742940532248243,-0.729942811379572,FALSE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA
"ASV40",4.1418597023145,-1.81245966071668,2.16794424904089,-1.5194343424732,0.128653203060362,0.200698996774164,"DESeq2",0.200698996774164,-1.81245966071668,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV42",5.80997041294691,-5.0318398797513,2.06611841004241,-2.33118745633464,0.0197434772799864,0.0433800345870124,"DESeq2",0.0433800345870124,-5.0318398797513,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Marinomonas",NA
"ASV43",15.4105589492684,3.85121236257725,1.77485959324113,0.166337473347608,0.867891377331692,0.884908855318588,"DESeq2",0.884908855318588,3.85121236257725,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas",NA
"ASV45",30.0666944518441,-0.556151930415348,1.7738652962481,-0.312621661205438,0.754568119186177,0.790017628141232,"DESeq2",0.790017628141232,-0.556151930415348,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV47",9.70687942552954,-2.01832594709619,2.15211555951891,-0.908196695245431,0.363774309809895,0.472906602752863,"DESeq2",0.472906602752863,-2.01832594709619,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV49",84.1670572789256,-1.19235519814387,1.86334148278344,-2.5732253721044,0.010075557382962,0.0265716828363819,"DESeq2",0.0265716828363819,-1.19235519814387,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV50",16.2864076722595,-0.28971487921641,1.88748611854848,-2.6602182680045,NA,NA,"DESeq2",NA,-0.28971487921641,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV51",8.55552697392891,-5.62039958774774,1.99551811073439,-2.71200117432529,0.00668783558946421,0.0196849500369135,"DESeq2",0.0196849500369135,-5.62039958774774,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV52",59.5753952666232,8.08578585709858,1.60267512304227,5.00206680997537,5.6718925967637e-07,2.21203811273784e-05,"DESeq2",2.21203811273784e-05,8.08578585709858,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV53",72.3471794046635,-1.1538833768333,1.91412879692742,-2.92245556865261,NA,NA,"DESeq2",NA,-1.1538833768333,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV56",21.3343966238428,-2.21845032716041,1.97290109037005,-1.1035041560337,0.269808287723827,0.372478698096611,"DESeq2",0.372478698096611,-2.21845032716041,FALSE,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus Nitrosopelagicus",NA
"ASV60",12.1500322759576,1.67208713380722,2.00362077478853,0.852171810324253,0.394118740126237,0.503955110325352,"DESeq2",0.503955110325352,1.67208713380722,FALSE,"Bacteria","Marinimicrobia (SAR406 clade)",NA,NA,NA,NA,NA
"ASV62",73.1199945355416,1.42630157813867,1.53455950032333,0.933203716737917,0.350714796089498,0.466567394580717,"DESeq2",0.466567394580717,1.42630157813867,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Lentimonas",NA
"ASV64",40.1057752245287,0.62703776086278,1.60662145888348,0.391273312505687,0.695595223160889,0.751689132349407,"DESeq2",0.751689132349407,0.62703776086278,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"ASV66",34.597534167592,-0.811753766772415,1.91409893824866,-0.421258389133051,0.673566411672232,0.742940532248243,"DESeq2",0.742940532248243,-0.811753766772415,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",NA
"ASV68",13.4319694021269,5.32731245612862,1.97513609659245,2.80018809539389,0.00510728372490268,0.0162599236956085,"DESeq2",0.0162599236956085,5.32731245612862,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halomonadaceae","Halomonas",NA
"ASV71",23.3394196799924,1.33054556341351,1.69289515367085,0.791368312123448,0.428729095700298,0.539368862332633,"DESeq2",0.539368862332633,1.33054556341351,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA
"ASV72",9.90327025547566,-2.5987307394048,2.05723051033108,-1.22924120693159,0.218981383339169,0.319262577578601,"DESeq2",0.319262577578601,-2.5987307394048,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116 clade",NA,NA
"ASV74",8.95807781134414,-0.767756308041944,2.18452116414394,-0.345749153236321,0.729531240804361,0.774196418812792,"DESeq2",0.774196418812792,-0.767756308041944,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV76",124.906625542092,-3.70758960382823,2.04471139288478,-1.75308750721585,0.0795869875907983,0.139611360038542,"DESeq2",0.139611360038542,-3.70758960382823,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV77",96.7098806566773,8.64396490955813,1.60781386461784,5.3242351839694,1.0137867319346e-07,7.9075365090899e-06,"DESeq2",7.9075365090899e-06,8.64396490955813,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Erythrobacter",NA
"ASV81",27.7743015728928,-3.24616389389352,2.01534689097603,-1.56400073667406,0.117817395416893,0.189479522526137,"DESeq2",0.189479522526137,-3.24616389389352,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV85",9.40174794804758,-0.721664810499496,1.67046849741345,-0.430904894140927,0.66653752471517,0.742940532248243,"DESeq2",0.742940532248243,-0.721664810499496,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA
"ASV89",44.7814234114309,6.32653872285147,1.96942441173708,3.4179402243048,0.000630969629238582,0.00546840345340104,"DESeq2",0.00546840345340104,6.32653872285147,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA
"ASV92",44.1852760438738,0.133150206244254,1.585398068614,0.0840274746859133,0.933034587370569,0.933034587370569,"DESeq2",0.933034587370569,0.133150206244254,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Coraliomargarita",NA
"ASV93",0.567121302813001,3.82758958536733,2.20907612693194,0.657975661073647,0.510553770840128,0.607987696572977,"DESeq2",0.607987696572977,3.82758958536733,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116 clade",NA,NA
"ASV94",2.0437583464886,3.93614600578569,2.20113120171702,1.3507136843844,0.176787166988518,0.267755320875813,"DESeq2",0.267755320875813,3.93614600578569,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116 clade",NA,NA
"ASV100",32.3027548155583,5.41688807306413,2.05641647343094,2.96457132931264,0.00303104965666738,0.0115327743034173,"DESeq2",0.0115327743034173,5.41688807306413,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",NA
"ASV102",171.174012232023,5.02235238262097,1.8163626683295,2.90516323200764,0.00367061616689725,0.0130140027735448,"DESeq2",0.0130140027735448,5.02235238262097,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA
"ASV104",16.9272460511423,0.941932372743874,2.01553023204098,0.474149520016548,0.635393287825423,0.728833477211515,"DESeq2",0.728833477211515,0.941932372743874,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA
"ASV111",20.5302358779163,-1.65730740468456,2.16172224877785,-0.745686931090282,0.455856555652801,0.56439383080823,"DESeq2",0.56439383080823,-1.65730740468456,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA
"ASV113",18.2401339352301,0.561774637248188,1.80197226125672,0.31302005986673,0.754265421866433,0.790017628141232,"DESeq2",0.790017628141232,0.561774637248188,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA
"ASV116",11.1843865319975,-1.33925619748322,2.18913929152236,-6.95634172064492,NA,NA,"DESeq2",NA,-1.33925619748322,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA
"ASV118",30.0637582402464,1.12548960779289,1.70992176064543,0.662053086112927,0.507937200470394,0.607987696572977,"DESeq2",0.607987696572977,1.12548960779289,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4 marine group",NA
"ASV120",161.991562005818,5.15123411148706,1.71199354165167,3.09762710252,0.00195076722759416,0.0097136931179639,"DESeq2",0.0097136931179639,5.15123411148706,TRUE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rubripirellula",NA
