"TaxaID","rab.all","rab.win.control","rab.win.pollution_cruise","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1",8.95772950403624,9.55074216775156,8.18942579353196,-1.22646452865824,1.01769444669807,-1.15493003888564,0.0739319238239796,0.00570159684052963,0.0823728531382879,0.0200830419580419,0.124898145513109,"ALDEx2",0.0823728531382879,-1.15493003888564,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV2",5.10659413323307,8.94891924908314,3.21933837038706,-5.58883236719425,2.84666110020621,-1.93198422704971,0.00027407495720991,0.00127277854861019,0.0324351734943344,0.0027972027972028,0.0347968542771992,"ALDEx2",0.0324351734943344,-1.93198422704971,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus"
"ASV3",8.10424389133106,8.53974991459286,7.78855406380439,-0.724135083346172,0.978868520231756,-0.666414490783258,0.194553144002082,0.0446800537273312,0.241839496662728,0.109287587412588,0.407047289556273,"ALDEx2",0.241839496662728,-0.666414490783258,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV4",7.85684578604763,9.85094502535802,5.81005635108461,-4.05172470818449,2.11564007198792,-1.8617083197755,0.00027407495720991,0.000323583980483871,0.0176732126336728,0.0027972027972028,0.0347968542771992,"ALDEx2",0.0176732126336728,-1.8617083197755,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV5",8.18773245176196,8.44181319947715,7.4802539513557,-0.742088792947629,0.803407914670331,-0.881816736686498,0.167315928278727,0.0294409202950661,0.19752949747353,0.118553321678322,0.412420222841999,"ALDEx2",0.19752949747353,-0.881816736686498,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV6",8.23823053258838,8.75948409538942,7.47192628920413,-1.14207230992771,0.852244140804276,-1.23499594346546,0.0664084729804991,0.00430056143836886,0.0718845673515919,0.0145104895104895,0.0998905059562451,"ALDEx2",0.0718845673515919,-1.23499594346546,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV9",-2.93875725729028,5.3553799695324,-3.92317152808283,-9.35028061453069,7.59398358627458,-1.10674701758652,0.147860803702751,0.0961295839487298,0.349268169772811,0.0786931818181819,0.298601368287486,"ALDEx2",0.349268169772811,-1.10674701758652,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Glaciecola",NA
"ASV13",7.09672867239269,8.00775851597604,6.52327732789088,-1.74821958972811,0.828043827057327,-1.89285646294019,0.00027407495720991,0.00062153993347523,0.0236556094586594,0.0027972027972028,0.0347968542771992,"ALDEx2",0.0236556094586594,-1.89285646294019,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV20",7.03568727070997,7.19833572033467,6.87107891110423,-0.270629278060995,0.572360751768129,-0.270211142751135,0.375000169541022,0.78956637792137,0.999574655037026,0.48944493006993,0.963700483323785,"ALDEx2",0.999574655037026,-0.270211142751135,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV21",6.57373397752668,6.64284401622597,5.96518429726048,-0.614872688828978,1.14714095303802,-0.447662493273272,0.37354102648589,0.0988487150671891,0.357742133796762,0.63284527972028,0.980450737807654,"ALDEx2",0.357742133796762,-0.447662493273272,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group",NA,NA
