"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.pollution_cruise","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV1","DESeq2",1964.57894095177,-0.813440198876189,0.679922824897699,-1.19628451183417,0.231585550728746,0.380615141244003,"deseq2",0.380615141244003,-0.813440198876189,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,TRUE
"ASV1","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.0813790355456237,-1.27043410307985,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,8.94832771148167,9.58704028487985,8.18569547143233,-1.1801892892604,0.987664047377963,-1.27043410307985,0.0778228670577618,0.00547923777956122,0.0813790355456237,0.0198426573426573,0.12245052835704,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,TRUE
"ASV1000","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.678396114643621,0.635624917827456,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","MB11C04 marine group",NA,-2.42009560802352,-3.52818074940008,-1.19735134354438,4.05199662454951,5.83327357948117,0.635624917827456,0.287938069429334,0.229052247705748,0.678396114643621,0.272377622377622,0.681617495308793,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1000","DESeq2",14.6632576451111,4.29637211338017,1.98258853867095,2.20892007262994,0.0271802007750334,0.0784469209360721,"deseq2",0.0784469209360721,4.29637211338017,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","MB11C04 marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1008","DESeq2",13.7734924848378,0.566668143825052,1.44071050419721,0.393623842288056,0.693858775848096,0.823812258950081,"deseq2",0.823812258950081,0.566668143825052,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1008","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.99877793663543,0.140837263628199,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group",NA,NA,1.0214904306356,-0.0579842971618989,1.3602306217161,1.04084037984828,4.55116778576901,0.140837263628199,0.443579838639472,0.829940265623994,0.99877793663543,0.735161713286714,0.995833792880403,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1013","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.263326823226499,-1.36441267285997,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,-3.19859765860548,4.98127680658006,-4.20697086918823,-8.40427461262233,5.66185654908177,-1.36441267285997,0.121094881691164,0.0691384731333339,0.263326823226499,0.0600524475524476,0.237801811169368,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1013","DESeq2",26.5239388616552,-7.31540495462817,1.7653257959882,-3.99039379921366,6.59636807721444e-05,0.000520380148313583,"deseq2",0.000520380148313583,-7.31540495462817,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1017","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.485623681933623,0.905971181787396,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","IS-44",NA,-1.11539780792993,-3.9099044391963,1.83592365287255,4.90915958787367,5.03012463545494,0.905971181787396,0.167315928278727,0.112045185970474,0.485623681933623,0.0931381118881118,0.405585434835105,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1017","DESeq2",12.8264625224452,4.97653288677063,1.74128635530988,2.84421731766773,0.00445206711814806,0.0181664807694547,"deseq2",0.0181664807694547,4.97653288677063,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","IS-44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
